Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,750.000,750.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,750.000,-750.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-750.000,-750.000,0.000,Tower Foundation
4,Tower Foundation Connection 4 - Shaft 1,-750.000,750.000,0.000,Tower Foundation
5,Connection Bracings 5 - Shaft 1,750.000,750.000,2000.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,750.000,-750.000,2000.000,Connection Bracer
7,Connection Bracings 7 - Shaft 1,-750.000,-750.000,2000.000,Connection Bracer
8,Connection Bracings 8 - Shaft 1,-750.000,750.000,2000.000,Connection Bracer
9,Connection Bracings 9 - Shaft 1,750.000,750.000,4000.000,Connection Bracer
10,Connection Bracings 10 - Shaft 1,750.000,-750.000,4000.000,Connection Bracer
11,Connection Bracings 11 - Shaft 1,-750.000,-750.000,4000.000,Connection Bracer
12,Connection Bracings 12 - Shaft 1,-750.000,750.000,4000.000,Connection Bracer
13,Connection Shaft 13 - Shaft 1,750.000,750.000,6000.000,Connection Shaft
14,Connection Shaft 14 - Shaft 1,750.000,-750.000,6000.000,Connection Shaft
15,Connection Shaft 15 - Shaft 1,-750.000,-750.000,6000.000,Connection Shaft
16,Connection Shaft 16 - Shaft 1,-750.000,750.000,6000.000,Connection Shaft
17,Connection Bracings 17 - Shaft 2,750.000,750.000,8000.000,Connection Bracer
18,Connection Bracings 18 - Shaft 2,750.000,-750.000,8000.000,Connection Bracer
19,Connection Bracings 19 - Shaft 2,-750.000,-750.000,8000.000,Connection Bracer
20,Connection Bracings 20 - Shaft 2,-750.000,750.000,8000.000,Connection Bracer
21,Connection Bracings 21 - Shaft 2,750.000,750.000,10000.000,Connection Bracer
22,Connection Bracings 22 - Shaft 2,750.000,-750.000,10000.000,Connection Bracer
23,Connection Bracings 23 - Shaft 2,-750.000,-750.000,10000.000,Connection Bracer
24,Connection Bracings 24 - Shaft 2,-750.000,750.000,10000.000,Connection Bracer
25,Connection Shaft 25 - Shaft 2,750.000,750.000,12000.000,Connection Shaft
26,Connection Shaft 26 - Shaft 2,750.000,-750.000,12000.000,Connection Shaft
27,Connection Shaft 27 - Shaft 2,-750.000,-750.000,12000.000,Connection Shaft
28,Connection Shaft 28 - Shaft 2,-750.000,750.000,12000.000,Connection Shaft
29,Connection Bracings 29 - Shaft 3,750.000,750.000,14000.000,Connection Bracer
30,Connection Bracings 30 - Shaft 3,750.000,-750.000,14000.000,Connection Bracer
31,Connection Bracings 31 - Shaft 3,-750.000,-750.000,14000.000,Connection Bracer
32,Connection Bracings 32 - Shaft 3,-750.000,750.000,14000.000,Connection Bracer
33,Connection Bracings 33 - Shaft 3,750.000,750.000,16000.000,Connection Bracer
34,Connection Bracings 34 - Shaft 3,750.000,-750.000,16000.000,Connection Bracer
35,Connection Bracings 35 - Shaft 3,-750.000,-750.000,16000.000,Connection Bracer
36,Connection Bracings 36 - Shaft 3,-750.000,750.000,16000.000,Connection Bracer
37,Connection Shaft 37 - Shaft 3,750.000,750.000,18000.000,Connection Shaft
38,Connection Shaft 38 - Shaft 3,750.000,-750.000,18000.000,Connection Shaft
39,Connection Shaft 39 - Shaft 3,-750.000,-750.000,18000.000,Connection Shaft
40,Connection Shaft 40 - Shaft 3,-750.000,750.000,18000.000,Connection Shaft
41,Connection Bracings 41 - Shaft 4,750.000,750.000,20000.000,Connection Bracer
42,Connection Bracings 42 - Shaft 4,750.000,-750.000,20000.000,Connection Bracer
43,Connection Bracings 43 - Shaft 4,-750.000,-750.000,20000.000,Connection Bracer
44,Connection Bracings 44 - Shaft 4,-750.000,750.000,20000.000,Connection Bracer
45,Connection Bracings 45 - Shaft 4,750.000,750.000,22000.000,Connection Bracer
46,Connection Bracings 46 - Shaft 4,750.000,-750.000,22000.000,Connection Bracer
47,Connection Bracings 47 - Shaft 4,-750.000,-750.000,22000.000,Connection Bracer
48,Connection Bracings 48 - Shaft 4,-750.000,750.000,22000.000,Connection Bracer
49,Connection Shaft 49 - Shaft 4,750.000,750.000,24000.000,Connection Shaft
50,Connection Shaft 50 - Shaft 4,750.000,-750.000,24000.000,Connection Shaft
51,Connection Shaft 51 - Shaft 4,-750.000,-750.000,24000.000,Connection Shaft
52,Connection Shaft 52 - Shaft 4,-750.000,750.000,24000.000,Connection Shaft
53,Connection Bracings 53 - Shaft 5,750.000,750.000,26000.000,Connection Bracer
54,Connection Bracings 54 - Shaft 5,750.000,-750.000,26000.000,Connection Bracer
55,Connection Bracings 55 - Shaft 5,-750.000,-750.000,26000.000,Connection Bracer
56,Connection Bracings 56 - Shaft 5,-750.000,750.000,26000.000,Connection Bracer
57,Connection Bracings 57 - Shaft 5,750.000,750.000,28000.000,Connection Bracer
58,Connection Bracings 58 - Shaft 5,750.000,-750.000,28000.000,Connection Bracer
59,Connection Bracings 59 - Shaft 5,-750.000,-750.000,28000.000,Connection Bracer
60,Connection Bracings 60 - Shaft 5,-750.000,750.000,28000.000,Connection Bracer
61,Connection Shaft 61 - Shaft 5,750.000,750.000,30000.000,Connection Shaft
62,Connection Shaft 62 - Shaft 5,750.000,-750.000,30000.000,Connection Shaft
63,Connection Shaft 63 - Shaft 5,-750.000,-750.000,30000.000,Connection Shaft
64,Connection Shaft 64 - Shaft 5,-750.000,750.000,30000.000,Connection Shaft

Lines
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars
1,Leg 1 - Shaft 1,1,5,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
2,Leg 2 - Shaft 1,2,6,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
3,Leg 3 - Shaft 1,3,7,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
4,Leg 4 - Shaft 1,4,8,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
5,Leg 5 - Shaft 1,5,9,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
6,Leg 6 - Shaft 1,6,10,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
7,Leg 7 - Shaft 1,7,11,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
8,Leg 8 - Shaft 1,8,12,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
9,Leg 9 - Shaft 1,9,13,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
10,Leg 10 - Shaft 1,10,14,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
11,Leg 11 - Shaft 1,11,15,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
12,Leg 12 - Shaft 1,12,16,Leg,pipe,Ø 193.7x8.0,S355,0,0,Alternating Diagonal,yes,yes
13,Diagonal Bar 13 - Shaft 1,1,6,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
14,Diagonal Bar 14 - Shaft 1,2,7,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
15,Diagonal Bar 15 - Shaft 1,3,8,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
16,Diagonal Bar 16 - Shaft 1,4,5,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
17,Diagonal Bar 17 - Shaft 1,6,9,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
18,Diagonal Bar 18 - Shaft 1,7,10,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
19,Diagonal Bar 19 - Shaft 1,8,11,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
20,Diagonal Bar 20 - Shaft 1,5,12,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
21,Diagonal Bar 21 - Shaft 1,9,14,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
22,Diagonal Bar 22 - Shaft 1,10,15,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
23,Diagonal Bar 23 - Shaft 1,11,16,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
24,Diagonal Bar 24 - Shaft 1,12,13,Diagonal Bar,pipe,Ø 88.9x6.0,S275,No,1,Alternating Diagonal,yes,yes
25,Horizontal Bar 25 - Shaft 1,13,14,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
26,Horizontal Bar 26 - Shaft 1,14,15,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
27,Horizontal Bar 27 - Shaft 1,15,16,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
28,Horizontal Bar 28 - Shaft 1,16,13,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
29,Horizontal Bar 29 - Shaft 1,5,6,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
30,Horizontal Bar 30 - Shaft 1,6,7,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
31,Horizontal Bar 31 - Shaft 1,7,8,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
32,Horizontal Bar 32 - Shaft 1,8,5,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
33,Horizontal Bar 33 - Shaft 1,9,10,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
34,Horizontal Bar 34 - Shaft 1,10,11,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
35,Horizontal Bar 35 - Shaft 1,11,12,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
36,Horizontal Bar 36 - Shaft 1,12,9,Horizontal Bar,pipe,Ø 60.3x3.2,S275,No,1,Alternating Diagonal,yes,yes
37,Leg 37 - Shaft 2,13,17,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
38,Leg 38 - Shaft 2,14,18,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
39,Leg 39 - Shaft 2,15,19,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
40,Leg 40 - Shaft 2,16,20,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes
