Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,1096.966,1900.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,1096.966,-1900.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-2193.931,0.000,0.000,Tower Foundation
4,Connection Bracings 4 - Shaft 1,1039.231,1800.000,3000.000,Connection Bracer
5,Connection Bracings 5 - Shaft 1,1039.231,-1800.000,3000.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,-2078.461,0.000,3000.000,Connection Bracer
7,Connection Shaft 7 - Shaft 1,981.495,1700.000,6000.000,Connection Shaft
8,Connection Shaft 8 - Shaft 1,981.495,-1700.000,6000.000,Connection Shaft
9,Connection Shaft 9 - Shaft 1,-1962.991,0.000,6000.000,Connection Shaft
10,Connection Bracings 10 - Shaft 1,1067.318,0.000,1540.541,Non-Connectable Node
11,Connection Bracings 11 - Shaft 1,-533.659,-924.324,1540.541,Non-Connectable Node
12,Connection Bracings 12 - Shaft 1,-533.659,924.324,1540.541,Non-Connectable Node
13,Connection Bracings 13 - Shaft 1,1009.538,0.000,4542.857,Non-Connectable Node
14,Connection Bracings 14 - Shaft 1,-504.769,-874.286,4542.857,Non-Connectable Node
15,Connection Bracings 15 - Shaft 1,-504.769,874.286,4542.857,Non-Connectable Node
16,Connection Bracings 16 - Shaft 2,923.760,1600.000,9000.000,Connection Bracer
17,Connection Bracings 17 - Shaft 2,923.760,-1600.000,9000.000,Connection Bracer
18,Connection Bracings 18 - Shaft 2,-1847.521,0.000,9000.000,Connection Bracer
19,Connection Shaft 19 - Shaft 2,866.025,1500.000,12000.000,Connection Shaft
20,Connection Shaft 20 - Shaft 2,866.025,-1500.000,12000.000,Connection Shaft
21,Connection Shaft 21 - Shaft 2,-1732.051,0.000,12000.000,Connection Shaft
22,Connection Bracings 22 - Shaft 2,951.753,0.000,7545.454,Non-Connectable Node
23,Connection Bracings 23 - Shaft 2,-475.877,-824.242,7545.454,Non-Connectable Node
24,Connection Bracings 24 - Shaft 2,-475.877,824.242,7545.454,Non-Connectable Node
25,Connection Bracings 25 - Shaft 2,893.962,0.000,10548.387,Non-Connectable Node
26,Connection Bracings 26 - Shaft 2,-446.981,-774.193,10548.387,Non-Connectable Node
27,Connection Bracings 27 - Shaft 2,-446.981,774.193,10548.387,Non-Connectable Node
28,Connection Bracings 28 - Shaft 3,808.290,1400.000,15000.000,Connection Bracer
29,Connection Bracings 29 - Shaft 3,808.290,-1400.000,15000.000,Connection Bracer
