Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,2000.000,2000.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,2000.000,-2000.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-2000.000,-2000.000,0.000,Tower Foundation
4,Tower Foundation Connection 4 - Shaft 1,-2000.000,2000.000,0.000,Tower Foundation
5,Connection Bracings 5 - Shaft 1,1833.333,1833.333,2000.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,1833.333,-1833.333,2000.000,Connection Bracer
7,Connection Bracings 7 - Shaft 1,-1833.333,-1833.333,2000.000,Connection Bracer
8,Connection Bracings 8 - Shaft 1,-1833.333,1833.333,2000.000,Connection Bracer
9,Connection Bracings 9 - Shaft 1,1666.667,1666.667,4000.000,Connection Bracer
10,Connection Bracings 10 - Shaft 1,1666.667,-1666.667,4000.000,Connection Bracer
11,Connection Bracings 11 - Shaft 1,-1666.667,-1666.667,4000.000,Connection Bracer
12,Connection Bracings 12 - Shaft 1,-1666.667,1666.667,4000.000,Connection Bracer
13,Connection Shaft 13 - Shaft 1,1500.000,1500.000,6000.000,Connection Shaft
14,Connection Shaft 14 - Shaft 1,1500.000,-1500.000,6000.000,Connection Shaft
15,Connection Shaft 15 - Shaft 1,-1500.000,-1500.000,6000.000,Connection Shaft
16,Connection Shaft 16 - Shaft 1,-1500.000,1500.000,6000.000,Connection Shaft
17,Connection Bracings 17 - Shaft 1,1913.043,0.000,1043.478,Non-Connectable Node
18,Connection Bracings 18 - Shaft 1,0.000,-1913.043,1043.478,Non-Connectable Node
19,Connection Bracings 19 - Shaft 1,-1913.043,0.000,1043.478,Non-Connectable Node
20,Connection Bracings 20 - Shaft 1,0.000,1913.043,1043.478,Non-Connectable Node
21,Connection Bracings 21 - Shaft 1,1746.032,0.000,3047.619,Non-Connectable Node
22,Connection Bracings 22 - Shaft 1,0.000,-1746.032,3047.619,Non-Connectable Node
23,Connection Bracings 23 - Shaft 1,-1746.032,0.000,3047.619,Non-Connectable Node
24,Connection Bracings 24 - Shaft 1,0.000,1746.032,3047.619,Non-Connectable Node
25,Connection Bracings 25 - Shaft 1,1578.947,0.000,5052.632,Non-Connectable Node
26,Connection Bracings 26 - Shaft 1,0.000,-1578.947,5052.632,Non-Connectable Node
27,Connection Bracings 27 - Shaft 1,-1578.947,0.000,5052.632,Non-Connectable Node
28,Connection Bracings 28 - Shaft 1,0.000,1578.947,5052.632,Non-Connectable Node
29,Connection Bracings 29 - Shaft 2,1500.000,1500.000,8000.000,Connection Bracer
30,Connection Bracings 30 - Shaft 2,1500.000,-1500.000,8000.000,Connection Bracer
31,Connection Bracings 31 - Shaft 2,-1500.000,-1500.000,8000.000,Connection Bracer
32,Connection Bracings 32 - Shaft 2,-1500.000,1500.000,8000.000,Connection Bracer
33,Connection Bracings 33 - Shaft 2,1500.000,1500.000,10000.000,Connection Bracer
34,Connection Bracings 34 - Shaft 2,1500.000,-1500.000,10000.000,Connection Bracer
35,Connection Bracings 35 - Shaft 2,-1500.000,-1500.000,10000.000,Connection Bracer
36,Connection Bracings 36 - Shaft 2,-1500.000,1500.000,10000.000,Connection Bracer
37,Connection Shaft 37 - Shaft 2,1500.000,1500.000,12000.000,Connection Shaft
38,Connection Shaft 38 - Shaft 2,1500.000,-1500.000,12000.000,Connection Shaft
39,Connection Shaft 39 - Shaft 2,-1500.000,-1500.000,12000.000,Connection Shaft
40,Connection Shaft 40 - Shaft 2,-1500.000,1500.000,12000.000,Connection Shaft
41,Connection Bracings 41 - Shaft 2,1500.000,0.000,7000.000,Non-Connectable Node
42,Connection Bracings 42 - Shaft 2,0.000,-1500.000,7000.000,Non-Connectable Node
43,Connection Bracings 43 - Shaft 2,-1500.000,0.000,7000.000,Non-Connectable Node
44,Connection Bracings 44 - Shaft 2,0.000,1500.000,7000.000,Non-Connectable Node
45,Connection Bracings 45 - Shaft 2,1500.000,0.000,9000.000,Non-Connectable Node
46,Connection Bracings 46 - Shaft 2,0.000,-1500.000,9000.000,Non-Connectable Node
47,Connection Bracings 47 - Shaft 2,-1500.000,0.000,9000.000,Non-Connectable Node
48,Connection Bracings 48 - Shaft 2,0.000,1500.000,9000.000,Non-Connectable Node
49,Connection Bracings 49 - Shaft 2,1500.000,0.000,11000.000,Non-Connectable Node
50,Connection Bracings 50 - Shaft 2,0.000,-1500.000,11000.000,Non-Connectable Node
51,Connection Bracings 51 - Shaft 2,-1500.000,0.000,11000.000,Non-Connectable Node
52,Connection Bracings 52 - Shaft 2,0.000,1500.000,11000.000,Non-Connectable Node
53,Connection Bracings 53 - Shaft 3,1500.000,1500.000,14000.000,Connection Bracer
54,Connection Bracings 54 - Shaft 3,1500.000,-1500.000,14000.000,Connection Bracer
55,Connection Bracings 55 - Shaft 3,-1500.000,-1500.000,14000.000,Connection Bracer
56,Connection Bracings 56 - Shaft 3,-1500.000,1500.000,14000.000,Connection Bracer
57,Connection Bracings 57 - Shaft 3,1500.000,1500.000,16000.000,Connection Bracer
58,Connection Bracings 58 - Shaft 3,1500.000,-1500.000,16000.000,Connection Bracer
59,Connection Bracings 59 - Shaft 3,-1500.000,-1500.000,16000.000,Connection Bracer
60,Connection Bracings 60 - Shaft 3,-1500.000,1500.000,16000.000,Connection Bracer
61,Connection Shaft 61 - Shaft 3,1500.000,1500.000,18000.000,Connection Shaft
62,Connection Shaft 62 - Shaft 3,1500.000,-1500.000,18000.000,Connection Shaft
63,Connection Shaft 63 - Shaft 3,-1500.000,-1500.000,18000.000,Connection Shaft
64,Connection Shaft 64 - Shaft 3,-1500.000,1500.000,18000.000,Connection Shaft
65,Connection Bracings 65 - Shaft 3,1500.000,0.000,13000.000,Non-Connectable Node
66,Connection Bracings 66 - Shaft 3,0.000,-1500.000,13000.000,Non-Connectable Node
67,Connection Bracings 67 - Shaft 3,-1500.000,0.000,13000.000,Non-Connectable Node
68,Connection Bracings 68 - Shaft 3,0.000,1500.000,13000.000,Non-Connectable Node
69,Connection Bracings 69 - Shaft 3,1500.000,0.000,15000.000,Non-Connectable Node
70,Connection Bracings 70 - Shaft 3,0.000,-1500.000,15000.000,Non-Connectable Node
71,Connection Bracings 71 - Shaft 3,-1500.000,0.000,15000.000,Non-Connectable Node
72,Connection Bracings 72 - Shaft 3,0.000,1500.000,15000.000,Non-Connectable Node
73,Connection Bracings 73 - Shaft 3,1500.000,0.000,17000.000,Non-Connectable Node
74,Connection Bracings 74 - Shaft 3,0.000,-1500.000,17000.000,Non-Connectable Node
75,Connection Bracings 75 - Shaft 3,-1500.000,0.000,17000.000,Non-Connectable Node
76,Connection Bracings 76 - Shaft 3,0.000,1500.000,17000.000,Non-Connectable Node
77,Connection Bracings 77 - Shaft 4,1333.333,1333.333,20000.000,Connection Bracer
78,Connection Bracings 78 - Shaft 4,1333.333,-1333.333,20000.000,Connection Bracer
79,Connection Bracings 79 - Shaft 4,-1333.333,-1333.333,20000.000,Connection Bracer
80,Connection Bracings 80 - Shaft 4,-1333.333,1333.333,20000.000,Connection Bracer
81,Connection Bracings 81 - Shaft 4,1166.667,1166.667,22000.000,Connection Bracer
82,Connection Bracings 82 - Shaft 4,1166.667,-1166.667,22000.000,Connection Bracer
83,Connection Bracings 83 - Shaft 4,-1166.667,-1166.667,22000.000,Connection Bracer
84,Connection Bracings 84 - Shaft 4,-1166.667,1166.667,22000.000,Connection Bracer
85,Connection Shaft 85 - Shaft 4,1000.000,1000.000,24000.000,Connection Shaft
86,Connection Shaft 86 - Shaft 4,1000.000,-1000.000,24000.000,Connection Shaft
87,Connection Shaft 87 - Shaft 4,-1000.000,-1000.000,24000.000,Connection Shaft
88,Connection Shaft 88 - Shaft 4,-1000.000,1000.000,24000.000,Connection Shaft

Lines
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars
1,Leg 1 - Shaft 1,1,5,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
2,Leg 2 - Shaft 1,2,6,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
3,Leg 3 - Shaft 1,3,7,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
4,Leg 4 - Shaft 1,4,8,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
5,Leg 5 - Shaft 1,5,9,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
6,Leg 6 - Shaft 1,6,10,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
7,Leg 7 - Shaft 1,7,11,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
8,Leg 8 - Shaft 1,8,12,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
9,Leg 9 - Shaft 1,9,13,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
10,Leg 10 - Shaft 1,10,14,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
11,Leg 11 - Shaft 1,11,15,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
12,Leg 12 - Shaft 1,12,16,Leg,pipe,Ø 139.7x4.0,S235,0,0,X-Bracing,yes,yes
13,Diagonal Bar 13 - Shaft 1,1,17,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
14,Diagonal Bar 14 - Shaft 1,17,6,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
15,Diagonal Bar 15 - Shaft 1,2,17,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
16,Diagonal Bar 16 - Shaft 1,17,5,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
17,Diagonal Bar 17 - Shaft 1,2,18,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
18,Diagonal Bar 18 - Shaft 1,18,7,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
19,Diagonal Bar 19 - Shaft 1,3,18,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
20,Diagonal Bar 20 - Shaft 1,18,6,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
21,Diagonal Bar 21 - Shaft 1,3,19,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
22,Diagonal Bar 22 - Shaft 1,19,8,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
23,Diagonal Bar 23 - Shaft 1,4,19,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
24,Diagonal Bar 24 - Shaft 1,19,7,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
25,Diagonal Bar 25 - Shaft 1,4,20,Diagonal Bar,pipe,Ø 21.3x3.2,S275,Yes,0,X-Bracing,yes,yes
