Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,1143.154,1980.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,1143.154,-1980.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-2286.307,0.000,0.000,Tower Foundation
4,Connection Bracings 4 - Shaft 1,1039.231,1800.000,3000.000,Connection Bracer
5,Connection Bracings 5 - Shaft 1,1039.231,-1800.000,3000.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,-2078.461,0.000,3000.000,Connection Bracer
7,Connection Shaft 7 - Shaft 1,935.307,1620.000,6000.000,Connection Shaft
8,Connection Shaft 8 - Shaft 1,935.307,-1620.000,6000.000,Connection Shaft
9,Connection Shaft 9 - Shaft 1,-1870.615,0.000,6000.000,Connection Shaft
10,Connection Bracings 10 - Shaft 2,831.384,1440.000,9000.000,Connection Bracer
11,Connection Bracings 11 - Shaft 2,831.384,-1440.000,9000.000,Connection Bracer
12,Connection Bracings 12 - Shaft 2,-1662.769,0.000,9000.000,Connection Bracer
13,Connection Shaft 13 - Shaft 2,727.461,1260.000,12000.000,Connection Shaft
14,Connection Shaft 14 - Shaft 2,727.461,-1260.000,12000.000,Connection Shaft
15,Connection Shaft 15 - Shaft 2,-1454.923,0.000,12000.000,Connection Shaft
16,Connection Bracings 16 - Shaft 3,727.461,1260.000,15000.000,Connection Bracer
17,Connection Bracings 17 - Shaft 3,727.461,-1260.000,15000.000,Connection Bracer
18,Connection Bracings 18 - Shaft 3,-1454.923,0.000,15000.000,Connection Bracer
19,Connection Shaft 19 - Shaft 3,727.461,1260.000,18000.000,Connection Shaft
20,Connection Shaft 20 - Shaft 3,727.461,-1260.000,18000.000,Connection Shaft
21,Connection Shaft 21 - Shaft 3,-1454.923,0.000,18000.000,Connection Shaft
22,Connection Bracings 22 - Shaft 4,727.461,1260.000,21000.000,Connection Bracer
23,Connection Bracings 23 - Shaft 4,727.461,-1260.000,21000.000,Connection Bracer
24,Connection Bracings 24 - Shaft 4,-1454.923,0.000,21000.000,Connection Bracer
25,Connection Shaft 25 - Shaft 4,727.461,1260.000,24000.000,Connection Shaft
26,Connection Shaft 26 - Shaft 4,727.461,-1260.000,24000.000,Connection Shaft
27,Connection Shaft 27 - Shaft 4,-1454.923,0.000,24000.000,Connection Shaft
28,Connection Bracings 28 - Shaft 5,727.461,1260.000,27000.000,Connection Bracer
29,Connection Bracings 29 - Shaft 5,727.461,-1260.000,27000.000,Connection Bracer
30,Connection Bracings 30 - Shaft 5,-1454.923,0.000,27000.000,Connection Bracer
31,Connection Shaft 31 - Shaft 5,727.461,1260.000,30000.000,Connection Shaft
32,Connection Shaft 32 - Shaft 5,727.461,-1260.000,30000.000,Connection Shaft
33,Connection Shaft 33 - Shaft 5,-1454.923,0.000,30000.000,Connection Shaft
34,Connection Shaft 34 - Shaft 6,727.461,1260.000,32000.000,Connection Shaft
35,Connection Shaft 35 - Shaft 6,727.461,-1260.000,32000.000,Connection Shaft
36,Connection Shaft 36 - Shaft 6,-1454.923,0.000,32000.000,Connection Shaft

Lines
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars
1,Leg 1 - Shaft 1,1,4,Leg,pipe,Ø 168.3x4.5,S355,0,0,Alternating Diagonal,yes,yes
2,Leg 2 - Shaft 1,2,5,Leg,pipe,Ø 168.3x4.5,S355,0,0,Alternating Diagonal,yes,yes
3,Leg 3 - Shaft 1,3,6,Leg,pipe,Ø 168.3x4.5,S355,0,0,Alternating Diagonal,yes,yes
4,Leg 4 - Shaft 1,4,7,Leg,pipe,Ø 168.3x4.5,S355,0,0,Alternating Diagonal,yes,yes
5,Leg 5 - Shaft 1,5,8,Leg,pipe,Ø 168.3x4.5,S355,0,0,Alternating Diagonal,yes,yes
6,Leg 6 - Shaft 1,6,9,Leg,pipe,Ø 168.3x4.5,S355,0,0,Alternating Diagonal,yes,yes
7,Diagonal Bar 7 - Shaft 1,1,5,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
8,Diagonal Bar 8 - Shaft 1,2,6,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
9,Diagonal Bar 9 - Shaft 1,3,4,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
10,Diagonal Bar 10 - Shaft 1,5,7,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
11,Diagonal Bar 11 - Shaft 1,6,8,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
12,Diagonal Bar 12 - Shaft 1,4,9,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
13,Horizontal Bar 13 - Shaft 1,7,8,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,yes
14,Horizontal Bar 14 - Shaft 1,8,9,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,yes
15,Horizontal Bar 15 - Shaft 1,9,7,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,yes
16,Horizontal Bar 16 - Shaft 1,4,5,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,yes
17,Horizontal Bar 17 - Shaft 1,5,6,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,yes
18,Horizontal Bar 18 - Shaft 1,6,4,Horizontal Bar,angle,L60x60x6,S235,No,1,Alternating Diagonal,yes,yes
19,Leg 19 - Shaft 2,7,10,Leg,pipe,Ø 114.3x8.0,S235,0,0,Alternating Diagonal,yes,yes
20,Leg 20 - Shaft 2,8,11,Leg,pipe,Ø 114.3x8.0,S235,0,0,Alternating Diagonal,yes,yes
21,Leg 21 - Shaft 2,9,12,Leg,pipe,Ø 114.3x8.0,S235,0,0,Alternating Diagonal,yes,yes
22,Leg 22 - Shaft 2,10,13,Leg,pipe,Ø 114.3x8.0,S235,0,0,Alternating Diagonal,yes,yes
23,Leg 23 - Shaft 2,11,14,Leg,pipe,Ø 114.3x8.0,S235,0,0,Alternating Diagonal,yes,yes
24,Leg 24 - Shaft 2,12,15,Leg,pipe,Ø 114.3x8.0,S235,0,0,Alternating Diagonal,yes,yes
25,Diagonal Bar 25 - Shaft 2,7,11,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
26,Diagonal Bar 26 - Shaft 2,8,12,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
27,Diagonal Bar 27 - Shaft 2,9,10,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
28,Diagonal Bar 28 - Shaft 2,11,13,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
29,Diagonal Bar 29 - Shaft 2,12,14,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
30,Diagonal Bar 30 - Shaft 2,10,15,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
31,Horizontal Bar 31 - Shaft 2,13,14,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
32,Horizontal Bar 32 - Shaft 2,14,15,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
33,Horizontal Bar 33 - Shaft 2,15,13,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
34,Horizontal Bar 34 - Shaft 2,10,11,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
35,Horizontal Bar 35 - Shaft 2,11,12,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
36,Horizontal Bar 36 - Shaft 2,12,10,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
37,Leg 37 - Shaft 3,13,16,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
38,Leg 38 - Shaft 3,14,17,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
39,Leg 39 - Shaft 3,15,18,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
40,Leg 40 - Shaft 3,16,19,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
41,Leg 41 - Shaft 3,17,20,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
42,Leg 42 - Shaft 3,18,21,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
43,Diagonal Bar 43 - Shaft 3,13,17,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
44,Diagonal Bar 44 - Shaft 3,14,18,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
45,Diagonal Bar 45 - Shaft 3,15,16,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
46,Diagonal Bar 46 - Shaft 3,17,19,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
47,Diagonal Bar 47 - Shaft 3,18,20,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
48,Diagonal Bar 48 - Shaft 3,16,21,Diagonal Bar,pipe,Ø 88.9x3.2,S235,Yes,0,Alternating Diagonal,yes,yes
49,Horizontal Bar 49 - Shaft 3,19,20,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
50,Horizontal Bar 50 - Shaft 3,20,21,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
51,Horizontal Bar 51 - Shaft 3,21,19,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
52,Horizontal Bar 52 - Shaft 3,16,17,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
53,Horizontal Bar 53 - Shaft 3,17,18,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
54,Horizontal Bar 54 - Shaft 3,18,16,Horizontal Bar,angle,L50x50x5,S235,No,1,Alternating Diagonal,yes,yes
55,Leg 55 - Shaft 4,19,22,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
56,Leg 56 - Shaft 4,20,23,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
57,Leg 57 - Shaft 4,21,24,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
58,Leg 58 - Shaft 4,22,25,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
59,Leg 59 - Shaft 4,23,26,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
60,Leg 60 - Shaft 4,24,27,Leg,pipe,Ø 88.9x6.3,S235,0,0,Alternating Diagonal,yes,yes
61,Diagonal Bar 61 - Shaft 4,19,23,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
62,Diagonal Bar 62 - Shaft 4,20,24,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
63,Diagonal Bar 63 - Shaft 4,21,22,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
64,Diagonal Bar 64 - Shaft 4,23,25,Diagonal Bar,pipe,Ø 76.1x2.9,S235,Yes,0,Alternating Diagonal,yes,yes
