Nodes,,,,,,,,,,,,,
ID,Title,X,Y,Z,Type,,,,,,,,
1,Tower Foundation Connection 1 - Shaft 1,577.35,1000,0,Tower Foundation,,,,,,,,
2,Tower Foundation Connection 2 - Shaft 1,577.35,-1000,0,Tower Foundation,,,,,,,,
3,Tower Foundation Connection 3 - Shaft 1,-1154.701,0,0,Tower Foundation,,,,,,,,
4,Connection Bracings 4 - Shaft 1,577.35,1000,1950,Connection Bracer,,,,,,,,
5,Connection Bracings 5 - Shaft 1,577.35,-1000,1950,Connection Bracer,,,,,,,,
6,Connection Bracings 6 - Shaft 1,-1154.701,0,1950,Connection Bracer,,,,,,,,
7,Connection Bracings 7 - Shaft 1,577.35,1000,3900,Connection Bracer,,,,,,,,
8,Connection Bracings 8 - Shaft 1,577.35,-1000,3900,Connection Bracer,,,,,,,,
9,Connection Bracings 9 - Shaft 1,-1154.701,0,3900,Connection Bracer,,,,,,,,
10,Connection Shaft 10 - Shaft 1,577.35,1000,5850,Connection Shaft,,,,,,,,
11,Connection Shaft 11 - Shaft 1,577.35,-1000,5850,Connection Shaft,,,,,,,,
12,Connection Shaft 12 - Shaft 1,-1154.701,0,5850,Connection Shaft,,,,,,,,
13,Connection Bracings 13 - Shaft 2,577.35,1000,7800,Connection Bracer,,,,,,,,
14,Connection Bracings 14 - Shaft 2,577.35,-1000,7800,Connection Bracer,,,,,,,,
15,Connection Bracings 15 - Shaft 2,-1154.701,0,7800,Connection Bracer,,,,,,,,
16,Connection Bracings 16 - Shaft 2,577.35,1000,9750,Connection Bracer,,,,,,,,
17,Connection Bracings 17 - Shaft 2,577.35,-1000,9750,Connection Bracer,,,,,,,,
18,Connection Bracings 18 - Shaft 2,-1154.701,0,9750,Connection Bracer,,,,,,,,
19,Connection Shaft 19 - Shaft 2,577.35,1000,11700,Connection Shaft,,,,,,,,
20,Connection Shaft 20 - Shaft 2,577.35,-1000,11700,Connection Shaft,,,,,,,,
21,Connection Shaft 21 - Shaft 2,-1154.701,0,11700,Connection Shaft,,,,,,,,
22,Connection Bracings 22 - Shaft 3,577.35,1000,13650,Connection Bracer,,,,,,,,
23,Connection Bracings 23 - Shaft 3,577.35,-1000,13650,Connection Bracer,,,,,,,,
24,Connection Bracings 24 - Shaft 3,-1154.701,0,13650,Connection Bracer,,,,,,,,
25,Connection Bracings 25 - Shaft 3,577.35,1000,15600,Connection Bracer,,,,,,,,
26,Connection Bracings 26 - Shaft 3,577.35,-1000,15600,Connection Bracer,,,,,,,,
27,Connection Bracings 27 - Shaft 3,-1154.701,0,15600,Connection Bracer,,,,,,,,
28,Connection Shaft 28 - Shaft 3,577.35,1000,17550,Connection Shaft,,,,,,,,
29,Connection Shaft 29 - Shaft 3,577.35,-1000,17550,Connection Shaft,,,,,,,,
30,Connection Shaft 30 - Shaft 3,-1154.701,0,17550,Connection Shaft,,,,,,,,
31,Connection Shaft 31 - Shaft 4,577.35,1000,20000,Connection Shaft,,,,,,,,
32,Connection Shaft 32 - Shaft 4,577.35,-1000,20000,Connection Shaft,,,,,,,,
33,Connection Shaft 33 - Shaft 4,-1154.701,0,20000,Connection Shaft,,,,,,,,
,,,,,,,,,,,,,
Lines,,,,,,,,,,,,,
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars,
1,Leg 1 - Shaft 1,1,4,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
2,Leg 2 - Shaft 1,2,5,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
3,Leg 3 - Shaft 1,3,6,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
4,Leg 4 - Shaft 1,4,7,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
5,Leg 5 - Shaft 1,5,8,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
6,Leg 6 - Shaft 1,6,9,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
7,Leg 7 - Shaft 1,7,10,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
8,Leg 8 - Shaft 1,8,11,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
9,Leg 9 - Shaft 1,9,12,Leg,pipe,Ø 168.3x6.0,S355,0,0,Alternating Diagonal,yes,yes,
10,Diagonal Bar 10 - Shaft 1,1,5,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
11,Diagonal Bar 11 - Shaft 1,2,6,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
12,Diagonal Bar 12 - Shaft 1,3,4,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
13,Diagonal Bar 13 - Shaft 1,5,7,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
14,Diagonal Bar 14 - Shaft 1,6,8,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
15,Diagonal Bar 15 - Shaft 1,4,9,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
16,Diagonal Bar 16 - Shaft 1,7,11,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
17,Diagonal Bar 17 - Shaft 1,8,12,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
18,Diagonal Bar 18 - Shaft 1,9,10,Diagonal Bar,pipe,Ø 88.9x3,S235,No,2,Alternating Diagonal,yes,yes,
19,Horizontal Bar 19 - Shaft 1,10,11,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
20,Horizontal Bar 20 - Shaft 1,11,12,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
21,Horizontal Bar 21 - Shaft 1,12,10,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
22,Horizontal Bar 22 - Shaft 1,4,5,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
23,Horizontal Bar 23 - Shaft 1,5,6,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
24,Horizontal Bar 24 - Shaft 1,6,4,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
25,Horizontal Bar 25 - Shaft 1,7,8,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
26,Horizontal Bar 26 - Shaft 1,8,9,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
27,Horizontal Bar 27 - Shaft 1,9,7,Horizontal Bar,pipe,Ø 48.3x2.9,S235,No,1,Alternating Diagonal,yes,yes,
28,Leg 28 - Shaft 2,10,13,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
29,Leg 29 - Shaft 2,11,14,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
30,Leg 30 - Shaft 2,12,15,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
31,Leg 31 - Shaft 2,13,16,Leg,pipe,Ø 139.7x5.0,S355,0,0,Alternating Diagonal,yes,yes,
