Nodes
ID,Title,X,Y,Z,Type
1,Tower Foundation Connection 1 - Shaft 1,519.615,900.000,0.000,Tower Foundation
2,Tower Foundation Connection 2 - Shaft 1,519.615,-900.000,0.000,Tower Foundation
3,Tower Foundation Connection 3 - Shaft 1,-1039.230,-0.000,0.000,Tower Foundation
4,Connection Bracings 4 - Shaft 1,497.965,862.500,1500.000,Connection Bracer
5,Connection Bracings 5 - Shaft 1,497.965,-862.500,1500.000,Connection Bracer
6,Connection Bracings 6 - Shaft 1,-995.929,-0.000,1500.000,Connection Bracer
7,Connection Bracings 7 - Shaft 1,476.314,825.000,3000.000,Connection Bracer
8,Connection Bracings 8 - Shaft 1,476.314,-825.000,3000.000,Connection Bracer
9,Connection Bracings 9 - Shaft 1,-952.628,-0.000,3000.000,Connection Bracer
10,Connection Bracings 10 - Shaft 1,454.663,787.500,4500.000,Connection Bracer
11,Connection Bracings 11 - Shaft 1,454.663,-787.500,4500.000,Connection Bracer
12,Connection Bracings 12 - Shaft 1,-909.327,-0.000,4500.000,Connection Bracer
13,Connection Shaft 13 - Shaft 1,433.013,750.000,6000.000,Connection Shaft
14,Connection Shaft 14 - Shaft 1,433.013,-750.000,6000.000,Connection Shaft
15,Connection Shaft 15 - Shaft 1,-866.025,-0.000,6000.000,Connection Shaft
16,Connection Bracings 16 - Shaft 2,411.362,712.500,7500.000,Connection Bracer
17,Connection Bracings 17 - Shaft 2,411.362,-712.500,7500.000,Connection Bracer
18,Connection Bracings 18 - Shaft 2,-822.724,-0.000,7500.000,Connection Bracer
19,Connection Bracings 19 - Shaft 2,389.711,675.000,9000.000,Connection Bracer
20,Connection Bracings 20 - Shaft 2,389.711,-675.000,9000.000,Connection Bracer
21,Connection Bracings 21 - Shaft 2,-779.423,-0.000,9000.000,Connection Bracer
22,Connection Bracings 22 - Shaft 2,368.061,637.500,10500.000,Connection Bracer
23,Connection Bracings 23 - Shaft 2,368.061,-637.500,10500.000,Connection Bracer
24,Connection Bracings 24 - Shaft 2,-736.122,-0.000,10500.000,Connection Bracer
25,Connection Shaft 25 - Shaft 2,346.410,600.000,12000.000,Connection Shaft
26,Connection Shaft 26 - Shaft 2,346.410,-600.000,12000.000,Connection Shaft
27,Connection Shaft 27 - Shaft 2,-692.820,-0.000,12000.000,Connection Shaft
28,Connection Bracings 28 - Shaft 3,324.760,562.500,13500.000,Connection Bracer
29,Connection Bracings 29 - Shaft 3,324.760,-562.500,13500.000,Connection Bracer
30,Connection Bracings 30 - Shaft 3,-649.519,-0.000,13500.000,Connection Bracer
31,Connection Bracings 31 - Shaft 3,303.109,525.000,15000.000,Connection Bracer
32,Connection Bracings 32 - Shaft 3,303.109,-525.000,15000.000,Connection Bracer
33,Connection Bracings 33 - Shaft 3,-606.218,-0.000,15000.000,Connection Bracer
34,Connection Bracings 34 - Shaft 3,281.458,487.500,16500.000,Connection Bracer
35,Connection Bracings 35 - Shaft 3,281.458,-487.500,16500.000,Connection Bracer
36,Connection Bracings 36 - Shaft 3,-562.917,-0.000,16500.000,Connection Bracer
37,Connection Shaft 37 - Shaft 3,259.808,450.000,18000.000,Connection Shaft
38,Connection Shaft 38 - Shaft 3,259.808,-450.000,18000.000,Connection Shaft
39,Connection Shaft 39 - Shaft 3,-519.615,-0.000,18000.000,Connection Shaft
40,Connection Bracings 40 - Shaft 4,259.808,450.000,19500.000,Connection Bracer
41,Connection Bracings 41 - Shaft 4,259.808,-450.000,19500.000,Connection Bracer
42,Connection Bracings 42 - Shaft 4,-519.615,-0.000,19500.000,Connection Bracer
43,Connection Bracings 43 - Shaft 4,259.808,450.000,21000.000,Connection Bracer
44,Connection Bracings 44 - Shaft 4,259.808,-450.000,21000.000,Connection Bracer
45,Connection Bracings 45 - Shaft 4,-519.615,-0.000,21000.000,Connection Bracer
46,Connection Bracings 46 - Shaft 4,259.808,450.000,22500.000,Connection Bracer
47,Connection Bracings 47 - Shaft 4,259.808,-450.000,22500.000,Connection Bracer
48,Connection Bracings 48 - Shaft 4,-519.615,-0.000,22500.000,Connection Bracer
49,Connection Shaft 49 - Shaft 4,259.808,450.000,24000.000,Connection Shaft
50,Connection Shaft 50 - Shaft 4,259.808,-450.000,24000.000,Connection Shaft
51,Connection Shaft 51 - Shaft 4,-519.615,-0.000,24000.000,Connection Shaft

Lines
ID,Title,Start_Node_ID,End_Node_ID,Type,Type_of_Profile,Line_Profile,Steel_Type,Is_Welded,N_Bolts,Type_of_Shape,Top_Bars,Middle_Bars
1,Leg 1 - Shaft 1,1,4,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
2,Leg 2 - Shaft 1,2,5,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
3,Leg 3 - Shaft 1,3,6,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
4,Leg 4 - Shaft 1,4,7,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
5,Leg 5 - Shaft 1,5,8,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
6,Leg 6 - Shaft 1,6,9,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
7,Leg 7 - Shaft 1,7,10,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
8,Leg 8 - Shaft 1,8,11,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
9,Leg 9 - Shaft 1,9,12,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
10,Leg 10 - Shaft 1,10,13,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
11,Leg 11 - Shaft 1,11,14,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
12,Leg 12 - Shaft 1,12,15,Leg,pipe,Ø 114.3x6.3,S235,0,0,Alternating Diagonal,yes,yes
13,Diagonal Bar 13 - Shaft 1,1,5,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
14,Diagonal Bar 14 - Shaft 1,2,6,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
15,Diagonal Bar 15 - Shaft 1,3,4,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
16,Diagonal Bar 16 - Shaft 1,5,7,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
17,Diagonal Bar 17 - Shaft 1,6,8,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
18,Diagonal Bar 18 - Shaft 1,4,9,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
19,Diagonal Bar 19 - Shaft 1,7,11,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
20,Diagonal Bar 20 - Shaft 1,8,12,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
21,Diagonal Bar 21 - Shaft 1,9,10,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
22,Diagonal Bar 22 - Shaft 1,11,13,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
23,Diagonal Bar 23 - Shaft 1,12,14,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
24,Diagonal Bar 24 - Shaft 1,10,15,Diagonal Bar,pipe,Ø 42.4x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
25,Horizontal Bar 25 - Shaft 1,13,14,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
26,Horizontal Bar 26 - Shaft 1,14,15,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
27,Horizontal Bar 27 - Shaft 1,15,13,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
28,Horizontal Bar 28 - Shaft 1,4,5,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
29,Horizontal Bar 29 - Shaft 1,5,6,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
30,Horizontal Bar 30 - Shaft 1,6,4,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
31,Horizontal Bar 31 - Shaft 1,7,8,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
32,Horizontal Bar 32 - Shaft 1,8,9,Horizontal Bar,pipe,Ø 33.7x3.8,S235,Yes,0,Alternating Diagonal,yes,yes
