Bars

Member,Profile,Steel,Slenderness,NtRd,NbRd,Ned,Ratio,Result
Leg - Shaft 2,Ø 88.9x6.0,S275,56.7,429.7,323.7,40.6,0.13,OK
Leg - Shaft 1,Ø 76.1x5.0,S275,99.4,307.1,141.6,79.7,0.56,OK
Diagonal Bar - Shaft 2,Ø 114.3x3,S275,26.7,288.5,272.7,9.7,0.04,OK
Diagonal Bar - Shaft 1,Ø 139.7x5.0,S235,39.6,497.2,440.4,17.8,0.04,OK
Horizontal Bar - Shaft 2,Ø 101.6x3.2,S275,50.3,272.0,217.0,1.9,0.01,OK
Horizontal Bar - Shaft 1,L45x45x3,S275,250.2,73.2,7.8,6.9,0.88,OK

Connections

Member,Plate thickness,e1,e2,p1,p2,Steel Plate,Number of bolts,Bolts Size,Bolts steel,Ned,NRd,Ratio,Result
Diagonal Bar - Shaft 2,--,--,--,--,--,--,--,--,--,--,--,--,Welded
Diagonal Bar - Shaft 1,5.0,30.0,50.0,40.0,0.0,S275,2,8.8,M16,17.8,72.0,0.25,OK
Horizontal Bar - Shaft 2,--,--,--,--,--,--,--,--,--,--,--,--,Welded
Horizontal Bar - Shaft 1,3.0,30.0,25.0,50.0,30.0,S275,2,8.8,M16,10.1,11.6,0.87,OK

Shaft connections - Bolted 

Member,Plate thickness,e1,e2,p1,p2,Number of plates,Steel Plate,Number of bolts,Bolts Size,Bolts steel,NRd,Ned,Ratio,Result

Shaft connections - Flanged

Member,Flange Diameter,Flange thickness,Flange Steel,Bolts Inscription,Number of bolts,Bolts Diameter,Bolts steel,Ned,Nrd,Ratio,Result
Leg - Shaft 2,--,--,--,--,--,--,--,--,--,--,NA
Leg - Shaft 1,318.0,30.0,S235,300.0,6.0,M16,8.8,30.2,356.1,0.08,OK

Tilt

Case,Degree,Minute,Distance
SLS - Top,0.039,2.366,4.8
SLS - 2/3,0.036,2.15,2.5
ULS - Top,0.063,3.785,7.7
ULS - 2/3,0.057,3.44,4.0
SLS - 100 km/h,0.015,0.923,1.9
ULS - 100 km/h,0.025,1.476,3.0
SLS - 120 km/h,0.022,1.329,2.7
ULS - 120 km/h,0.035,2.126,4.3

Basal Efforts

Case,Ned,Ted,Med
SLS,27.028,20.236,150.412
ULS,32.434,32.378,240.66

Area - Equipments

0.595,0.924,2.444,0.563,0.251,0.251,1.05

Area - Linear equipments

Name,Widht,Shape Coefficient,Weight,Start,End
Ladder,0.122,1.2,8.0,0.0,10.0
Cables,0.0,1.2,0.0,0.0,10.0

Foundation

Foundation, 
Slab Width (m),0
Slab Height (m),0
Pier Width (m),0
Pier Height (m),0
Soil Self-Weight (kN/m3),10.0
Allowed Soil Tension (SLS) (Pa),10.0
Allowed Soil Tension (ULS) (Pa),10.0

Ratio Foundation

Ratio Foundation,0.04

Wind Load

Wind Load,
Country,Spain
Wind Zone,C
vref (m/s),29
Terrain Category,II
Orographie Coefficient,1.0
q0 (Pa),525.6
Average Wind speed (top) (m/s),29.19
Dynamic Wind Pressure (top) (Pa),1236.0

Ice Load

Snow Load,
Radial ice thickness,0
Increased volumetric weight of ice (kg/m3),0

Area Left,1.34
