Expanded Results,,,,,,,,,,,,,,,,,,,,
Wind Load - 0,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 5,6.088,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.875,1.0,0.949,951.6,1223.6,3794.2,0.253,0.8,394.8,1224.3
Shaft 4,6.089,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.875,1.0,0.949,847.7,1090.0,3214.6,0.253,0.8,351.7,1037.3
Shaft 3,3.091,0.784,0.0,0.0,0.784,0.254,2.708,1.595,1.296,3.0,2.708,1.0,0.949,751.8,551.0,1564.9,0.253,0.8,122.9,349.0
Shaft 2,4.87,1.019,0.0,0.0,1.019,0.209,2.891,1.681,1.307,3.0,2.891,1.0,0.949,713.7,725.5,2037.7,0.253,0.8,152.6,428.5
Shaft 1,10.696,2.033,0.0,0.0,2.033,0.19,2.974,1.721,1.313,3.0,2.974,1.0,0.949,713.7,1489.0,4136.8,0.253,0.8,335.0,930.7
Wind Load - 15,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 5,6.088,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.959,1.0,0.948,951.6,1259.4,3901.0,0.253,0.8,394.8,1223.0
Shaft 4,6.089,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,2.959,1.0,0.948,847.7,1122.0,3305.1,0.253,0.8,351.7,1036.2
Shaft 3,3.091,0.784,0.0,0.0,0.784,0.254,2.708,1.595,1.296,3.0,2.802,1.0,0.948,751.8,570.3,1617.8,0.253,0.8,122.9,348.6
Shaft 2,4.87,1.019,0.0,0.0,1.019,0.209,2.891,1.681,1.307,3.0,2.974,1.0,0.948,713.7,746.3,2094.2,0.253,0.8,152.6,428.0
Shaft 1,10.696,2.033,0.0,0.0,2.033,0.19,2.974,1.721,1.313,3.0,3.056,1.0,0.948,713.7,1530.0,4246.1,0.253,0.8,335.0,929.8
Wind Load - 30,,,,,,,,,,,,,,,,,,,,
Name_Enc_Out,At,Af,Ac,Acsup,As,Indice_Cheios,cf0f,cf0c,cf0csup,cfs0,cfs,c0_Vento_For,CsCd,Pressao_troco_medio,FmW,FTW,L_lin_equiv,Ka,FmW_lin,FTW_lin
Shaft 5,6.088,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,3.128,1.0,0.946,951.6,1331.0,4114.1,0.253,0.8,394.8,1220.4
Shaft 4,6.089,1.296,0.0,0.0,1.296,0.213,2.875,1.673,1.306,3.0,3.128,1.0,0.946,847.7,1185.8,3485.8,0.253,0.8,351.7,1034.0
Shaft 3,3.091,0.784,0.0,0.0,0.784,0.254,2.708,1.595,1.296,3.0,2.991,1.0,0.946,751.8,608.7,1723.4,0.253,0.8,122.9,347.9
Shaft 2,4.87,1.019,0.0,0.0,1.019,0.209,2.891,1.681,1.307,3.0,3.14,1.0,0.946,713.7,788.1,2206.8,0.253,0.8,152.6,427.2
